8000-128
PLACES:{0}, {3}, {1}, {4}, {2}, {5}, {6}, {9}, {7}, {10}, {8}, {11}|BIND:close,OPT-MAVX,6 threads,56.039318,55.454173,55.902366,54.599223,54.671045,
PLACES:{0}, {3}, {6}, {9}, {1}, {4}, {7}, {10}, {2}, {5}, {8}, {11}|BIND:close,OPT-MAVX,6 threads,54.363236,54.895653,54.942697,55.339191,56.379870,
PLACES:threads|BIND:false,OPT-MAVX,6 threads,58.217662,63.170840,62.221485,60.590629,57.737059,

