80-256
PLACES:cores|BIND:close,NO OPT-NO MAVX,4 threads,0.023918,0.045874,0.026457,0.026603,0.024835,
,,8 threads,0.045938,0.047848,0.046234,0.046012,0.046207,
,,12 threads,0.066354,0.064151,0.066744,0.061602,0.062247,
,NO OPT-MAVX,4 threads,0.022787,0.022801,0.022983,0.024368,0.023607,
,,8 threads,0.045295,0.044734,0.046833,0.045591,0.047270,
,,12 threads,0.063937,0.066648,0.064201,0.066105,0.064189,
,OPT-NO MAVX,4 threads,0.023730,0.018372,0.018212,0.018468,0.019510,
,,8 threads,0.040890,0.042994,0.040711,0.041448,0.040911,
,,12 threads,0.061568,0.068551,0.069930,0.061337,0.064035,
,OPT-MAVX,4 threads,0.019067,0.020999,0.024988,0.023440,0.021312,
,,8 threads,0.045626,0.043103,0.116719,0.050714,0.042558,
,,12 threads,0.069661,0.065851,0.062826,0.058551,0.062169,
PLACES:cores|BIND:spread,NO OPT-NO MAVX,4 threads,0.029387,0.033026,0.036798,0.028858,0.030467,
,,8 threads,0.056667,0.056520,0.049970,0.083122,0.081639,
,,12 threads,0.093333,0.073561,0.076033,0.066821,0.067104,
,NO OPT-MAVX,4 threads,0.079549,0.112661,0.127283,0.042941,0.035472,
,,8 threads,0.057313,0.054446,0.053444,0.050786,0.047208,
,,12 threads,0.066318,0.065097,0.063150,0.065580,0.062378,
,OPT-NO MAVX,4 threads,0.047350,0.026189,0.023923,0.022922,0.043003,
,,8 threads,0.049779,0.052262,0.048969,0.051877,0.051507,
,,12 threads,0.066128,0.071890,0.070431,0.082896,0.073839,
,OPT-MAVX,4 threads,0.026014,0.025732,0.021840,0.022543,0.023989,
,,8 threads,0.050056,0.045298,0.041949,0.053560,0.049819,
,,12 threads,0.082081,0.069604,0.064747,0.063140,0.059859,
PLACES:threads|BIND:close,NO OPT-NO MAVX,4 threads,0.070514,0.043867,0.040279,0.048324,0.047084,
,,8 threads,0.064035,0.063502,0.058928,0.068098,0.065618,
,,12 threads,0.083698,0.088406,0.081772,0.085098,0.082348,
,NO OPT-MAVX,4 threads,0.029640,0.036736,0.029876,0.031108,0.027910,
,,8 threads,0.052092,0.049269,0.045904,0.046888,0.047036,
,,12 threads,0.062986,0.063907,0.062701,0.067992,0.067673,
,OPT-NO MAVX,4 threads,0.019445,0.019555,0.019448,0.019227,0.019146,
,,8 threads,0.042687,0.047637,0.041552,0.040821,0.051815,
,,12 threads,0.077131,0.065800,0.064615,0.059953,0.067789,
,OPT-MAVX,4 threads,0.023117,0.020240,0.018857,0.022034,0.019609,
,,8 threads,0.041755,0.044224,0.044500,0.040579,0.040425,
,,12 threads,0.061881,0.061319,0.075987,0.070312,0.068354,
PLACES:threads|BIND:false,NO OPT-NO MAVX,4 threads,0.102411,0.127650,0.177014,0.039542,0.030501,
,,8 threads,0.155419,0.063278,0.069021,0.059962,0.047495,
,,12 threads,0.067626,0.070982,0.094600,0.068795,0.065886,
,NO OPT-MAVX,4 threads,0.117735,0.044514,0.064551,0.032412,0.034843,
,,8 threads,0.049593,0.051145,0.045658,0.045326,0.046401,
,,12 threads,0.066602,0.068651,0.093717,0.089009,0.085644,
,OPT-NO MAVX,4 threads,0.023858,0.050817,0.037881,0.031436,0.022859,
,,8 threads,0.052626,0.044121,0.047615,0.047022,0.057410,
,,12 threads,0.070683,0.073822,0.073001,0.077868,0.066951,
,OPT-MAVX,4 threads,0.021850,0.022028,0.022500,0.027663,0.023136,
,,8 threads,0.046505,0.046931,0.047583,0.047428,0.044714,
,,12 threads,0.062035,0.058674,0.057985,0.069189,0.065205,

