80-512
PLACES:cores|BIND:close,NO OPT-NO MAVX,4 threads,0.030436,0.025532,0.026338,0.025616,0.026809,
,,8 threads,0.049372,0.045825,0.046218,0.045823,0.047883,
,,12 threads,0.061530,0.065011,0.065330,0.064896,0.065032,
,NO OPT-MAVX,4 threads,0.029382,0.024343,0.022888,0.024431,0.027004,
,,8 threads,0.047067,0.048316,0.045604,0.045527,0.045366,
,,12 threads,0.063845,0.063125,0.068222,0.064231,0.061931,
,OPT-NO MAVX,4 threads,0.020453,0.023820,0.017997,0.019304,0.018024,
,,8 threads,0.041135,0.040731,0.040695,0.040704,0.040919,
,,12 threads,0.058573,0.060009,0.059600,0.060486,0.061253,
,OPT-MAVX,4 threads,0.017792,0.017483,0.019250,0.018437,0.017741,
,,8 threads,0.042058,0.040679,0.040503,0.040382,0.043284,
,,12 threads,0.060444,0.059741,0.056990,0.062241,0.059266,
PLACES:cores|BIND:spread,NO OPT-NO MAVX,4 threads,0.036337,0.093121,0.037607,0.044762,0.038113,
,,8 threads,0.055771,0.050751,0.058872,0.063273,0.056313,
,,12 threads,0.080027,0.076408,0.079229,0.092480,0.076946,
,NO OPT-MAVX,4 threads,0.024867,0.045420,0.033508,0.026264,0.032165,
,,8 threads,0.051776,0.045638,0.046232,0.048143,0.046453,
,,12 threads,0.064599,0.063097,0.066989,0.066759,0.063945,
,OPT-NO MAVX,4 threads,0.020731,0.019861,0.024285,0.020778,0.020324,
,,8 threads,0.042999,0.041081,0.044619,0.041307,0.042862,
,,12 threads,0.060799,0.059361,0.064039,0.056788,0.059795,
,OPT-MAVX,4 threads,0.020775,0.019708,0.019264,0.020281,0.018295,
,,8 threads,0.047219,0.046815,0.043630,0.048411,0.044776,
,,12 threads,0.059312,0.066938,0.059178,0.060357,0.060762,
PLACES:threads|BIND:close,NO OPT-NO MAVX,4 threads,0.030920,0.024016,0.022846,0.026606,0.023194,
,,8 threads,0.046441,0.045406,0.046000,0.048256,0.045608,
,,12 threads,0.065140,0.072334,0.073456,0.064231,0.064832,
,NO OPT-MAVX,4 threads,0.049407,0.039440,0.028162,0.027584,0.027112,
,,8 threads,0.051588,0.057585,0.046649,0.048187,0.054944,
,,12 threads,0.066942,0.066742,0.067099,0.063018,0.067140,
,OPT-NO MAVX,4 threads,0.024261,0.028961,0.021684,0.018956,0.025373,
,,8 threads,0.048646,0.042665,0.040877,0.044394,0.043571,
,,12 threads,0.060164,0.062944,0.057757,0.059594,0.058892,
,OPT-MAVX,4 threads,0.021159,0.021445,0.018715,0.024815,0.018272,
,,8 threads,0.040875,0.040838,0.041461,0.043935,0.041364,
,,12 threads,0.061202,0.057138,0.061600,0.060942,0.058325,
PLACES:threads|BIND:false,NO OPT-NO MAVX,4 threads,0.023546,0.023182,0.024665,0.023972,0.026301,
,,8 threads,0.047343,0.047254,0.046011,0.047291,0.045353,
,,12 threads,0.066041,0.065301,0.063245,0.062542,0.064565,
,NO OPT-MAVX,4 threads,0.023469,0.024308,0.051499,0.031415,0.027221,
,,8 threads,0.046298,0.045760,0.045413,0.045345,0.045217,
,,12 threads,0.064695,0.064821,0.065348,0.061464,0.067492,
,OPT-NO MAVX,4 threads,0.018500,0.018184,0.018519,0.018438,0.025161,
,,8 threads,0.040820,0.041343,0.040766,0.041094,0.041384,
,,12 threads,0.062203,0.061469,0.058523,0.062030,0.060049,
,OPT-MAVX,4 threads,0.018069,0.018082,0.018100,0.022241,0.019230,
,,8 threads,0.040282,0.039940,0.040385,0.043142,0.040539,
,,12 threads,0.062625,0.056603,0.061849,0.065507,0.060929,

