1000-256
PLACES:cores|BIND:close,NO OPT-NO MAVX,2 threads,3.664418,3.582621,3.586693,3.584136,3.585876,
,,4 threads,1.894042,1.888542,1.886000,1.884287,1.889795,
,,6 threads,1.906331,1.896428,1.915788,1.917864,1.918832,
,,8 threads,1.921074,1.939231,1.936472,1.948349,1.946892,
,,10 threads,1.952241,1.918924,1.956503,1.947451,1.952113,
,,12 threads,1.956026,1.962347,1.981899,1.956640,1.971845,
,NO OPT-MAVX,2 threads,3.690037,3.614249,3.651407,3.663188,3.672044,
,,4 threads,1.948792,1.923145,1.952927,1.931948,1.896685,
,,6 threads,1.963020,1.942649,1.959907,1.942246,1.959660,
,,8 threads,1.966125,1.963960,1.949292,1.967613,1.965568,
,,10 threads,1.965135,1.970372,1.975955,1.958330,1.976372,
,,12 threads,1.957697,1.975853,1.970619,1.970144,1.935454,
,OPT-NO MAVX,2 threads,0.237262,0.220886,0.223082,0.224103,0.223784,
,,4 threads,0.151767,0.137450,0.136149,0.136614,0.142518,
,,6 threads,0.151304,0.153148,0.148029,0.154868,0.155731,
,,8 threads,0.165655,0.165864,0.164938,0.165559,0.166356,
,,10 threads,0.165934,0.164908,0.167859,0.164285,0.164212,
,,12 threads,0.158125,0.162772,0.164160,0.166878,0.166551,
,OPT-MAVX,2 threads,0.189843,0.172011,0.170224,0.169440,0.168916,
,,4 threads,0.117803,0.112533,0.114331,0.117222,0.108224,
,,6 threads,0.126250,0.124176,0.119930,0.122858,0.119110,
,,8 threads,0.133465,0.135648,0.136145,0.134248,0.135003,
,,10 threads,0.136412,0.136122,0.133987,0.129250,0.135290,
,,12 threads,0.134088,0.133850,0.128913,0.132091,0.130545,
PLACES:cores|BIND:spread,NO OPT-NO MAVX,2 threads,3.718306,3.601765,3.597987,3.599972,3.599829,
,,4 threads,1.867682,1.828142,1.830981,1.831817,1.847420,
,,6 threads,1.906634,1.900057,1.900799,1.906132,1.897361,
,,8 threads,1.900949,1.902170,1.901581,1.902417,1.900484,
,,10 threads,1.905062,1.912919,1.909133,1.906853,1.903894,
,,12 threads,1.906034,1.903647,1.908712,1.903447,1.914385,
,NO OPT-MAVX,2 threads,3.624813,3.597029,3.596385,3.596079,3.607194,
,,4 threads,1.849527,1.851050,1.875512,1.846394,1.892732,
,,6 threads,1.898040,1.904744,1.901051,1.909592,1.905969,
,,8 threads,1.904915,1.902882,1.909274,1.897441,1.913721,
,,10 threads,1.898960,1.984213,1.910354,1.910007,1.910613,
,,12 threads,1.912438,1.910580,1.905919,1.946464,1.927197,
,OPT-NO MAVX,2 threads,0.267916,0.267571,0.251646,0.245930,0.241707,
,,4 threads,0.154329,0.155601,0.154610,0.150894,0.160237,
,,6 threads,0.158455,0.162294,0.168780,0.165834,0.165530,
,,8 threads,0.167357,0.170746,0.168278,0.173365,0.168329,
,,10 threads,0.163674,0.164228,0.164917,0.160004,0.163761,
,,12 threads,0.159672,0.162218,0.163339,0.159822,0.163193,
,OPT-MAVX,2 threads,0.217677,0.215909,0.213879,0.216432,0.215642,
,,4 threads,0.145772,0.144977,0.146177,0.147193,0.145479,
,,6 threads,0.133142,0.137978,0.132850,0.138521,0.137308,
,,8 threads,0.136150,0.142682,0.137988,0.136071,0.135301,
,,10 threads,0.131714,0.136438,0.175254,0.149868,0.146003,
,,12 threads,0.145618,0.143467,0.146380,0.144661,0.144162,
PLACES:threads|BIND:close,NO OPT-NO MAVX,2 threads,3.666310,3.634182,3.667711,3.688598,3.632701,
,,4 threads,1.955260,1.925284,1.956111,1.959661,1.922680,
,,6 threads,1.966919,1.947107,1.957146,1.958833,1.961880,
,,8 threads,1.954986,1.969856,1.972774,1.965066,1.900489,
,,10 threads,1.905532,1.900989,1.908757,1.918202,1.909609,
,,12 threads,1.922060,1.956304,1.925064,1.911570,1.930811,
,NO OPT-MAVX,2 threads,3.681166,3.634230,3.662295,3.624853,3.662107,
,,4 threads,1.893902,1.884599,1.892225,1.889571,1.892483,
,,6 threads,1.927788,1.931040,1.903293,1.934265,1.927086,
,,8 threads,1.947145,1.948522,1.956461,1.937253,2.079138,
,,10 threads,1.950885,1.955332,1.957013,1.961447,1.939266,
,,12 threads,1.958832,1.958787,1.959670,1.961676,1.968522,
,OPT-NO MAVX,2 threads,0.244748,0.230468,0.232669,0.229109,0.228710,
,,4 threads,0.150211,0.143590,0.137557,0.142059,0.146592,
,,6 threads,0.154591,0.153541,0.155850,0.155161,0.149091,
,,8 threads,0.164813,0.164933,0.165461,0.165074,0.159807,
,,10 threads,0.159656,0.162676,0.164753,0.166994,0.162415,
,,12 threads,0.165239,0.167082,0.165008,0.163399,0.159797,
,OPT-MAVX,2 threads,0.186175,0.172056,0.170419,0.174009,0.175195,
,,4 threads,0.116340,0.118342,0.113746,0.118809,0.119488,
,,6 threads,0.120024,0.125329,0.124598,0.124324,0.118835,
,,8 threads,0.136324,0.132941,0.136565,0.135971,0.135797,
,,10 threads,0.135475,0.137164,0.136432,0.137033,0.142239,
,,12 threads,0.128326,0.133246,0.129519,0.132570,0.134577,
PLACES:threads|BIND:false,NO OPT-NO MAVX,2 threads,3.612525,3.611509,3.610239,3.603922,3.609993,
,,4 threads,1.887938,1.871803,1.879522,1.886590,1.846368,
,,6 threads,1.873591,1.876038,1.855367,1.888836,1.896487,
,,8 threads,1.865442,1.870565,1.897425,1.891948,1.896791,
,,10 threads,1.951310,1.917356,1.932364,1.959026,1.900012,
,,12 threads,1.976290,1.933400,2.044807,1.906708,1.979834,
,NO OPT-MAVX,2 threads,3.614896,3.611027,3.610492,3.604041,3.612605,
,,4 threads,1.852269,1.875676,1.860144,1.854582,1.858322,
,,6 threads,1.871099,1.888092,1.884789,1.856598,1.871192,
,,8 threads,1.896032,1.896242,1.882350,2.000815,1.864607,
,,10 threads,1.908213,1.935509,1.912731,1.922474,1.917695,
,,12 threads,1.915304,1.911024,1.851951,1.881674,1.911028,
,OPT-NO MAVX,2 threads,0.249375,0.244322,0.246738,0.244766,0.246775,
,,4 threads,0.162170,0.157513,0.156010,0.152511,0.161539,
,,6 threads,0.164998,0.164974,0.163398,0.163524,0.163487,
,,8 threads,0.167747,0.163834,0.172934,0.163743,0.159308,
