10-128
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.008775,0.008185,0.006953,0.006939,0.007867,
,,4 threads,0.019353,0.019261,0.018421,0.018964,0.019080,
,,8 threads,0.041867,0.040701,0.043404,0.044802,0.044647,
,NO OPT-MAVX,2 threads,0.007477,0.007812,0.007967,0.007080,0.007039,
,,4 threads,0.020833,0.021209,0.022930,0.022295,0.021873,
,,8 threads,0.048079,0.046366,0.044871,0.052113,0.045876,
,OPT-NO MAVX,2 threads,0.007501,0.007900,0.006976,0.007773,0.007738,
,,4 threads,0.024634,0.024556,0.031163,0.024373,0.025480,
,,8 threads,0.050608,0.047855,0.050286,0.049141,0.049589,
,OPT-MAVX,2 threads,0.008190,0.007103,0.007028,0.007143,0.007191,
,,4 threads,0.021689,0.022421,0.021605,0.024289,0.034906,
,,8 threads,0.044866,0.049885,0.050896,0.046761,0.044412,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.006162,0.006715,0.006533,0.006278,0.006165,
,,4 threads,0.018400,0.018877,0.023748,0.019751,0.020671,
,,8 threads,0.042197,0.041102,0.039850,0.041772,0.040525,
,NO OPT-MAVX,2 threads,0.005985,0.009252,0.007076,0.006401,0.006261,
,,4 threads,0.021889,0.023470,0.020425,0.020306,0.020719,
,,8 threads,0.042818,0.040450,0.041365,0.040820,0.045150,
,OPT-NO MAVX,2 threads,0.007431,0.006179,0.007498,0.006917,0.007084,
,,4 threads,0.020802,0.020921,0.023087,0.031640,0.022065,
,,8 threads,0.044712,0.043947,0.042122,0.046582,0.045193,
,OPT-MAVX,2 threads,0.007672,0.006683,0.006433,0.006316,0.006554,
,,4 threads,0.018758,0.021599,0.020593,0.019269,0.019821,
,,8 threads,0.044089,0.041349,0.041524,0.040256,0.040411,

