10-256
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.006454,0.006270,0.006190,0.006149,0.006938,
,,4 threads,0.021133,0.020965,0.019190,0.019823,0.018360,
,,8 threads,0.043304,0.043433,0.051985,0.042151,0.042455,
,NO OPT-MAVX,2 threads,0.007578,0.008115,0.007059,0.008646,0.007531,
,,4 threads,0.023040,0.022926,0.033958,0.031726,0.029174,
,,8 threads,0.057064,0.054602,0.053869,0.055948,0.059238,
,OPT-NO MAVX,2 threads,0.008369,0.008382,0.013430,0.007550,0.008272,
,,4 threads,0.029469,0.023079,0.031058,0.027526,0.027054,
,,8 threads,0.060476,0.047771,0.053257,0.046874,0.047909,
,OPT-MAVX,2 threads,0.008552,0.006496,0.007544,0.007234,0.006969,
,,4 threads,0.020854,0.040940,0.026997,0.022014,0.022576,
,,8 threads,0.046657,0.043995,0.046589,0.044764,0.044484,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.010920,0.007667,0.010945,0.008150,0.008258,
,,4 threads,0.024526,0.021928,0.024959,0.023871,0.023444,
,,8 threads,0.053688,0.050895,0.046427,0.051353,0.049782,
,NO OPT-MAVX,2 threads,0.007506,0.007599,0.007807,0.007067,0.007888,
,,4 threads,0.023409,0.022907,0.021995,0.021225,0.022048,
,,8 threads,0.050547,0.048319,0.054057,0.052417,0.052751,
,OPT-NO MAVX,2 threads,0.008178,0.006910,0.008053,0.007389,0.008016,
,,4 threads,0.022481,0.022055,0.021379,0.023544,0.021422,
,,8 threads,0.042857,0.051690,0.043516,0.041227,0.041311,
,OPT-MAVX,2 threads,0.007028,0.006491,0.007266,0.006671,0.006989,
,,4 threads,0.018430,0.020885,0.021325,0.023665,0.020918,
,,8 threads,0.047721,0.047294,0.043434,0.042821,0.046987,

