100-128
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.022029,0.020773,0.021678,0.020889,0.022017,
,,4 threads,0.039862,0.039482,0.036701,0.038098,0.049871,
,,8 threads,0.070050,0.062490,0.066083,0.065366,0.060362,
,NO OPT-MAVX,2 threads,0.021995,0.021671,0.021605,0.022388,0.021819,
,,4 threads,0.044085,0.037133,0.035833,0.043141,0.045523,
,,8 threads,0.064835,0.066790,0.064080,0.070161,0.067935,
,OPT-NO MAVX,2 threads,0.010415,0.010747,0.009925,0.009626,0.009677,
,,4 threads,0.026027,0.026370,0.031847,0.026782,0.026179,
,,8 threads,0.061112,0.056481,0.057054,0.051261,0.049102,
,OPT-MAVX,2 threads,0.008571,0.008532,0.008624,0.008557,0.008841,
,,4 threads,0.034266,0.026185,0.024763,0.023739,0.031273,
,,8 threads,0.054674,0.056567,0.055481,0.058684,0.055931,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.022219,0.021115,0.021083,0.022548,0.022712,
,,4 threads,0.038187,0.038612,0.039090,0.048197,0.039987,
,,8 threads,0.062643,0.059098,0.066678,0.055597,0.060662,
,NO OPT-MAVX,2 threads,0.021771,0.020070,0.022287,0.024093,0.022575,
,,4 threads,0.042888,0.037209,0.038633,0.043167,0.038682,
,,8 threads,0.069780,0.066646,0.071891,0.067520,0.068585,
,OPT-NO MAVX,2 threads,0.010738,0.010400,0.012175,0.010286,0.009701,
,,4 threads,0.031113,0.027860,0.034217,0.033216,0.028409,
,,8 threads,0.059005,0.058286,0.062057,0.059312,0.059055,
,OPT-MAVX,2 threads,0.009704,0.009562,0.009225,0.009091,0.010191,
,,4 threads,0.029141,0.027622,0.033686,0.029245,0.027186,
,,8 threads,0.063682,0.067037,0.060690,0.059631,0.058418,

