10-128
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.000103,0.000094,0.000093,0.000108,0.000098,
,,4 threads,0.000253,0.000179,0.000143,0.000583,0.000923,
,,8 threads,0.000365,0.000246,0.000266,0.000257,0.000253,
,NO OPT-MAVX,2 threads,0.000085,0.000072,0.000083,0.000074,0.000080,
,,4 threads,0.000174,0.000137,0.000132,0.000132,0.000127,
,,8 threads,0.000231,0.000252,0.000247,0.000218,0.000224,
,OPT-NO MAVX,2 threads,0.000066,0.000072,0.000075,0.000070,0.000066,
,,4 threads,0.000140,0.000447,0.000126,0.000110,0.000135,
,,8 threads,0.000226,0.000213,0.000224,0.000253,0.000220,
,OPT-MAVX,2 threads,0.000071,0.000073,0.000076,0.000086,0.000077,
,,4 threads,0.000158,0.000190,0.000155,0.000201,0.000144,
,,8 threads,0.000358,0.000239,0.000259,0.001261,0.000571,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.000080,0.000097,0.000093,0.000098,0.000082,
,,4 threads,0.001392,0.001317,0.001830,0.000514,0.001919,
,,8 threads,0.000274,0.000239,0.006131,0.000273,0.000248,
,NO OPT-MAVX,2 threads,0.000094,0.000086,0.000105,0.000104,0.000096,
,,4 threads,0.001936,0.001923,0.001926,0.002618,0.001048,
,,8 threads,0.000258,0.000260,0.000785,0.000256,0.000367,
,OPT-NO MAVX,2 threads,0.000109,0.000085,0.000080,0.000071,0.000068,
,,4 threads,0.001130,0.002064,0.000728,0.000331,0.001927,
,,8 threads,0.000312,0.000265,0.000248,0.001514,0.000267,
,OPT-MAVX,2 threads,0.000090,0.000098,0.000095,0.000056,0.000105,
,,4 threads,0.001561,0.001969,0.001805,0.000883,0.001906,
,,8 threads,0.000242,0.000224,0.000240,0.000222,0.000213,

