100-256
PLACES:threads|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.008336,0.008350,0.008437,0.007996,0.008742,
,,4 threads,0.008599,0.008488,0.008451,0.009057,0.008430,
,,8 threads,0.007769,0.008067,0.007640,0.009524,0.007774,
,NO OPT-MAVX,2 threads,0.008020,0.008642,0.008244,0.008103,0.007996,
,,4 threads,0.008606,0.008563,0.008447,0.008439,0.010936,
,,8 threads,0.007628,0.007479,0.007662,0.007706,0.007896,
,OPT-NO MAVX,2 threads,0.000922,0.000867,0.000862,0.000978,0.000870,
,,4 threads,0.000937,0.000902,0.000861,0.001137,0.003418,
,,8 threads,0.000759,0.000813,0.000744,0.000737,0.000797,
,OPT-MAVX,2 threads,0.000633,0.000631,0.000617,0.000793,0.000620,
,,4 threads,0.000690,0.000742,0.000780,0.000690,0.000667,
,,8 threads,0.000691,0.000706,0.000708,0.000674,0.000700,
PLACES:CORES|BIND:CLOSE,NO OPT-NO MAVX,2 threads,0.007793,0.007696,0.007598,0.007880,0.007785,
,,4 threads,0.012212,0.008536,0.011641,0.010213,0.010205,
,,8 threads,0.007835,0.007998,0.007598,0.007658,0.007633,
,NO OPT-MAVX,2 threads,0.007183,0.007567,0.007711,0.007491,0.009716,
,,4 threads,0.008991,0.009821,0.009750,0.014833,0.009016,
,,8 threads,0.008095,0.010360,0.007736,0.008470,0.007852,
,OPT-NO MAVX,2 threads,0.000682,0.000877,0.000601,0.000575,0.000546,
,,4 threads,0.002664,0.002753,0.002357,0.002612,0.002856,
,,8 threads,0.000786,0.000744,0.000826,0.000742,0.000739,
,OPT-MAVX,2 threads,0.000647,0.000524,0.000492,0.000493,0.000503,
,,4 threads,0.002445,0.002588,0.000801,0.002426,0.009633,
,,8 threads,0.000840,0.001990,0.000735,0.000700,0.000735,

